,ID,order,trial,oddball,foil
0,0,0,0,84a_Gonn_AP_Monrepos_final_nocolor,201a_Peters_Graziosi 1960_final_nocolor
1,0,0,1,420b_Gonn_AP_Monrepos_final_nocolor,360a_Gonn_AP_Monrepos_final_nocolor
2,0,0,2,626a_Gonn_AP_Monrepos_final_nocolor,307a_Gonn_AP_Monrepos_final_nocolor
3,0,0,3,484a_Gonn_AP_Monrepos_final_nocolor,186a_GG_MB_2021_MdAM_final_nocolor
4,0,0,4,241b_Badegoule_MdP_Pr.A.1707_1_final_nocolor,360a_Gonn_AP_Monrepos_final_nocolor
5,0,0,5,484a_Gonn_AP_Monrepos_final_nocolor,353a_Gonn_AP_Monrepos_final_nocolor
6,0,0,6,360a_Gonn_AP_Monrepos_final_nocolor,70b_Gonn_AP_Monrepos_final_nocolor
7,0,0,7,73a_Gonn_AP_Monrepos_final_nocolor,355a_Gonn_AP_Monrepos_final_nocolor
8,0,0,8,307b_Gonn_AP_Monrepos_final_nocolor,186a_GG_MB_2021_MdAM_final_nocolor
9,0,0,9,202b_final_nocolor,420a_Gonn_AP_Monrepos_final_nocolor
10,0,0,10,201a_Peters_Graziosi 1960_final_nocolor,186b_GG_MB_2021_MdAM_final_nocolor
11,0,0,11,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor,186a_GG_MB_2021_MdAM_final_nocolor
12,0,0,12,307b_Gonn_AP_Monrepos_final_nocolor,167a_GG_MB_2021_MdAM_final_nocolor
13,0,0,13,144a_L-B_MdP_final_nocolor,151b_PC_DSC00570_final_nocolor
14,0,0,14,420b_Gonn_AP_Monrepos_final_nocolor,167a_GG_MB_2021_MdAM_final_nocolor
15,0,0,15,552a_Gonn_AP_Monrepos_final_nocolor,151a MdA_final_nocolor
16,0,0,16,241b_Badegoule_MdP_Pr.A.1707_1_final_nocolor,151b_PC_DSC00570_final_nocolor
17,0,0,17,626a_Gonn_AP_Monrepos_final_nocolor,151a MdA_final_nocolor
18,0,0,18,73b_Gonn_AP_Monrepos_final_nocolor,355a_Gonn_AP_Monrepos_final_nocolor
19,0,0,19,186a_GG_MB_2021_MdAM_final_nocolor,202a_final_nocolor
20,0,0,20,93b_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor,73a_Gonn_AP_Monrepos_final_nocolor
21,0,0,21,555a_Gonn_AP_Monrepos_final_nocolor,186b_GG_MB_2021_MdAM_final_nocolor
22,0,0,22,631a_Gonn_AP_Monrepos_final_nocolor,202b_final_nocolor
23,0,0,23,360a_Gonn_AP_Monrepos_final_nocolor,144b_L-B_MdP_final_nocolor
24,0,0,24,167a_GG_MB_2021_MdAM_final_nocolor,186b_GG_MB_2021_MdAM_final_nocolor
25,0,0,25,201a_Peters_Graziosi 1960_final_nocolor,144b_L-B_MdP_final_nocolor
26,0,0,26,73a_Gonn_AP_Monrepos_final_nocolor,552a_Gonn_AP_Monrepos_final_nocolor
27,0,0,27,552a_Gonn_AP_Monrepos_final_nocolor,626a_Gonn_AP_Monrepos_final_nocolor
28,0,0,28,241a_Badegoule_MdP_Pr.A.1707_final_nocolor,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor
29,0,0,29,360a_Gonn_AP_Monrepos_final_nocolor,144a_L-B_MdP_final_nocolor
30,0,0,30,552a_Gonn_AP_Monrepos_final_nocolor,420a_Gonn_AP_Monrepos_final_nocolor
31,0,0,31,355a_Gonn_AP_Monrepos_final_nocolor,418a_Gonn_AP_Monrepos_final_nocolor
32,0,0,32,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor,626a_Gonn_AP_Monrepos_final_nocolor
33,0,0,33,241b_Badegoule_MdP_Pr.A.1707_1_final_nocolor,241a_Badegoule_MdP_Pr.A.1707_final_nocolor
34,0,0,34,201a_Peters_Graziosi 1960_final_nocolor,307a_Gonn_AP_Monrepos_final_nocolor
35,0,0,35,626a_Gonn_AP_Monrepos_final_nocolor,226a_Aguas_Sant_Final_nocolor
36,0,0,36,241a_Badegoule_MdP_Pr.A.1707_final_nocolor,70b_Gonn_AP_Monrepos_final_nocolor
37,0,0,37,151b_PC_DSC00570_final_nocolor,353a_Gonn_AP_Monrepos_final_nocolor
38,0,0,38,370a_Gonn_AP_Monrepos_final_nocolor,73b_Gonn_AP_Monrepos_final_nocolor
39,0,0,39,93a_Gourdan_GG_MB_2021_MAN_Piette_final_nocolor,353a_Gonn_AP_Monrepos_final_nocolor
